,title,brand,model,size,price
104,Smart Tv Philco Ptv50g70sblsg Led 4k 50  110v/220v,Philco,PH50A17DSGWA,50,1899
105,Smart Tv LG 50  Nanocell Led Ultra Hd 4k 50nano79snd,LG,.,50,2799
106,G10 2.4ghz Controle Remoto Sem Fio Com Receptor Usb Voz,Generic,generic,68,221
107,Smart Tv Tcl Led 4k 55 55p715 Uhd Hdr Hdmi Netflix E Youtube,TCL,55P715,55,2999
108,Smart Tv 55 Samsung Crystal Uhd 4k 2020 Tu8000,Samsung,Smart TV,55,3299
109,Samsung Smart Tv Crystal Uhd Tu7020 4k 2020 65 Bluetooth,Samsung,TU7020,65,4699
110,Smart Tv Led 55  4k Uhd LG 55un731c 3 Hdmi 2 Usb Wi-fi,LG,55UN731C,55,3399
111,Smart Tv 43'' LG 43un7300 Ultra Hd 4k 3 Hdmi 2 Usb Wi-fi,LG,43UN7300,43,2999
112,Smart Tv Samsung Led 58 Crystal Uhd 4k 2020 Un58tu7020gxzd,Samsung,UN58TU7020,58,3599
113,Smart Tv Samsung 50 Polegadas Crystal 4k Un50tu8000gxzd,Samsung,UN50TU8000GXZD,50,3299
114,Smart Tv LG 60 4k 60un7310  Bluetooth Hdr C/ Smart Magic,LG,60UN7310,60,4199
115,Smart Tv Led 50  Ultra Hd 4k Philco Ptv50g70sbl 4 Hdmi 2 Usb,Philco,PTV50G70SBLSG,50,3049
116,Smart Tv Tcl Led 50 50p715 4k Uhd Hdr Hdmi Netflix E Youtube,TCL,50P715,50,2799
117,Smart Tv LG Ai Thinq 60un7310psa Led 4k 60  100v/240v,LG,60UN7310,60,2999
118,Smart Tv Nanocell 55 Polegadas LG Nano86sna Uhd 4k Ips Wi-fi,LG,55NANO86SNA,55,4102
119,Smart Tv Led 50 4k Uhd Philips Pixel Precise 50pug6654 Wifi,Philips,50PUG6654,50,4256
120,Smart Tv Led 50  4k Uhd LG 50un731c 3 Hdmi 2 Usb Wi-fi,LG,50UN731C,50,3199
121,Smart Tv Led 50 Samsung Lh50bethvggxzd Ultra Hd 4k 2hdmi,Samsung,LH50BETHVG,50,3299
